id,name,position,team_id,market_value,market_variation,date,points,jornada,season
20,Witsel,3.0,547,3401822.0,-43795.0,2026-01-01,2.0,17.0,2025.0
23,Sergio Gómez,2.0,548,5792748.0,-71259.0,2026-01-01,7.0,17.0,2025.0
29,Oblak,1.0,530,23532581.0,-172117.0,2026-01-01,10.0,17.0,2025.0
31,Giménez,2.0,530,6877924.0,-60577.0,2026-01-01,,,
45,Lemar,3.0,547,584917.0,3001.0,2026-01-01,1.0,17.0,2025.0
49,T. Partey,3.0,533,1858700.0,-50074.0,2026-01-01,,,
50,Koke,3.0,530,20360728.0,426369.0,2026-01-01,12.0,17.0,2025.0
52,Camello,4.0,728,566129.0,3783.0,2026-01-01,4.0,17.0,2025.0
56,Griezmann,4.0,530,25982017.0,64100.0,2026-01-01,7.0,17.0,2025.0
74,S. Amrabat,3.0,543,3951724.0,-73210.0,2026-01-01,,,
83,A. Danjuma,4.0,532,16905998.0,-329620.0,2026-01-01,4.0,17.0,2025.0
126,Iñaki Peña,1.0,797,2335378.0,8089.0,2026-01-01,14.0,17.0,2025.0
127,Ter Stegen,1.0,529,607164.0,3727.0,2026-01-01,0.0,17.0,2025.0
133,Lenglet,2.0,530,1345924.0,-28708.0,2026-01-01,,,
143,Aleñá,3.0,542,3906614.0,-77030.0,2026-01-01,-1.0,17.0,2025.0
155,Abel Ruiz,4.0,547,557728.0,4133.0,2026-01-01,,,
158,Gazzaniga,1.0,547,2648783.0,-47451.0,2026-01-01,3.0,17.0,2025.0
166,Foyth,2.0,533,13137935.0,-156050.0,2026-01-01,,,
278,Mbappé,4.0,541,167049748.0,-927808.0,2026-01-01,14.0,17.0,2025.0
283,Trent,2.0,541,10959668.0,-47866.0,2026-01-01,,,
372,Militão,2.0,541,34194496.0,-366888.0,2026-01-01,,,
414,Mascarell,3.0,798,645019.0,496.0,2026-01-01,,,
433,Marcão,2.0,536,583834.0,3046.0,2026-01-01,2.0,17.0,2025.0
505,Alaba,2.0,541,583063.0,3078.0,2026-01-01,0.0,17.0,2025.0
521,Lewandowski,4.0,529,65728944.0,-1215450.0,2026-01-01,2.0,17.0,2025.0
531,Daley Blind,2.0,547,1247281.0,-15793.0,2026-01-01,4.0,17.0,2025.0
538,De Jong,3.0,529,48152301.0,552524.0,2026-01-01,15.0,17.0,2025.0
547,Van de Beek,3.0,547,561075.0,3994.0,2026-01-01,,,
557,Vlachodimos,1.0,536,2815598.0,-30957.0,2026-01-01,7.0,17.0,2025.0
570,Cervi,3.0,538,554100.0,4285.0,2026-01-01,0.0,17.0,2025.0
608,L. Boyé,4.0,542,917984.0,-6090.0,2026-01-01,,,
619,Eric García,2.0,529,60545634.0,851136.0,2026-01-01,8.0,17.0,2025.0
622,Laporte,2.0,531,15394857.0,-404234.0,2026-01-01,,,
653,Mendy,2.0,541,585356.0,2982.0,2026-01-01,0.0,17.0,2025.0
697,M. Solomon,4.0,533,1106455.0,-18730.0,2026-01-01,0.0,17.0,2025.0
730,Courtois,1.0,541,45046634.0,147679.0,2026-01-01,13.0,17.0,2025.0
733,Carvajal,2.0,541,3124127.0,-56264.0,2026-01-01,,,
734,Dela,2.0,539,554464.0,4270.0,2026-01-01,13.0,17.0,2025.0
736,Fran García,2.0,541,681616.0,-1029.0,2026-01-01,6.0,17.0,2025.0
737,Odriozola,2.0,548,557013.0,4163.0,2026-01-01,0.0,17.0,2025.0
744,Brahim,3.0,541,2316104.0,-43882.0,2026-01-01,,,
745,Isco,3.0,543,27321641.0,-668287.0,2026-01-01,,,
748,Ceballos,3.0,541,737105.0,-3341.0,2026-01-01,0.0,17.0,2025.0
753,Llorente,3.0,530,66296678.0,1871287.0,2026-01-01,11.0,17.0,2025.0
756,Valverde,3.0,541,67024286.0,-48551.0,2026-01-01,,,
760,Mariano,4.0,542,580463.0,3186.0,2026-01-01,,,
762,Vinicius Jr.,4.0,541,120079601.0,-708487.0,2026-01-01,9.0,17.0,2025.0
851,Szczesny,1.0,529,1715923.0,-44077.0,2026-01-01,0.0,17.0,2025.0
885,Bailly,2.0,718,563560.0,3891.0,2026-01-01,9.0,17.0,2025.0
909,Rashford,4.0,529,56694137.0,-907215.0,2026-01-01,2.0,17.0,2025.0
910,A. Sánchez,4.0,536,2342399.0,17844.0,2026-01-01,6.0,17.0,2025.0
913,Cristian Rivero,1.0,532,551689.0,4385.0,2026-01-01,0.0,17.0,2025.0
916,Diakhaby,2.0,532,887291.0,-9598.0,2026-01-01,0.0,17.0,2025.0
918,Gayá,2.0,532,1712290.0,-26730.0,2026-01-01,3.0,17.0,2025.0
920,Lato,2.0,798,553245.0,4320.0,2026-01-01,0.0,17.0,2025.0
925,Guedes,4.0,548,17744762.0,106989.0,2026-01-01,5.0,17.0,2025.0
928,Parejo,3.0,533,809491.0,-2103.0,2026-01-01,2.0,17.0,2025.0
930,Carlos Soler,3.0,548,10461388.0,-123054.0,2026-01-01,2.0,17.0,2025.0
931,Ferran Torres,4.0,529,110536034.0,631622.0,2026-01-01,4.0,17.0,2025.0
957,Sow,3.0,536,604798.0,2172.0,2026-01-01,2.0,17.0,2025.0
1118,J. Toljan,2.0,539,989590.0,-13861.0,2026-01-01,5.0,17.0,2025.0
1257,Koundé,2.0,529,32343405.0,-219560.0,2026-01-01,9.0,17.0,2025.0
1271,Tchouaméni,3.0,541,52257555.0,776625.0,2026-01-01,8.0,17.0,2025.0
1323,Dani Olmo,3.0,529,25458539.0,472274.0,2026-01-01,,,
1439,Bellerín,2.0,543,12970527.0,-210806.0,2026-01-01,1.0,17.0,2025.0
1461,Denis Suárez,3.0,542,587969.0,2873.0,2026-01-01,3.0,17.0,2025.0
1482,Thierry Correia,2.0,532,583618.0,3055.0,2026-01-01,9.0,17.0,2025.0
1489,Gudelj,3.0,536,690957.0,-1418.0,2026-01-01,2.0,17.0,2025.0
1496,Raphinha,4.0,529,179682455.0,153201.0,2026-01-01,15.0,17.0,2025.0
1557,Pau López,1.0,543,1680567.0,-40741.0,2026-01-01,0.0,17.0,2025.0
1561,Bartra,2.0,543,35559859.0,197585.0,2026-01-01,10.0,17.0,2025.0
1564,Junior Firpo,2.0,543,1445708.0,-32866.0,2026-01-01,,,
1578,G. Lo Celso,3.0,543,26849654.0,-525579.0,2026-01-01,1.0,17.0,2025.0
1631,R. Rodríguez,2.0,543,1705091.0,-7768.0,2026-01-01,8.0,17.0,2025.0
1695,Santi Cazorla,3.0,718,611088.0,1910.0,2026-01-01,1.0,17.0,2025.0
1697,Fornals,3.0,543,115395502.0,148464.0,2026-01-01,16.0,17.0,2025.0
1700,Iván Martín,3.0,547,2598259.0,-29132.0,2026-01-01,4.0,17.0,2025.0
1701,Morlanes,3.0,798,594683.0,2594.0,2026-01-01,1.0,17.0,2025.0
1702,Pedraza,2.0,533,1348555.0,-28818.0,2026-01-01,,,
