id,name,position,team_id,market_value,market_variation,date
133609,Pedri,3.0,529,155503286.0,2180364.0,2026-01-02
753,Llorente,3.0,530,68112019.0,1815341.0,2026-01-02
47323,Oyarzabal,4.0,548,60178649.0,1432296.0,2026-01-02
10009,Rodrygo,4.0,541,23337762.0,1419475.0,2026-01-02
284300,Carreras,2.0,541,66528898.0,1223360.0,2026-01-02
161963,Germán Valera,4.0,797,36811196.0,852940.0,2026-01-02
182219,Álex Baena,3.0,530,53035461.0,852825.0,2026-01-02
1703,Ratiu,2.0,728,42283344.0,803393.0,2026-01-02
1707,Gerard,4.0,533,38557521.0,722944.0,2026-01-02
538,De Jong,3.0,529,48833654.0,681353.0,2026-01-02
1271,Tchouaméni,3.0,541,52900114.0,642559.0,2026-01-02
931,Ferran Torres,4.0,529,111083503.0,547469.0,2026-01-02
619,Eric García,2.0,529,61064560.0,518926.0,2026-01-02
47582,Cucho,4.0,543,102502691.0,511568.0,2026-01-02
181701,Gerard Martín,2.0,529,15660096.0,506346.0,2026-01-02
47541,Comesaña,3.0,533,35592532.0,485146.0,2026-01-02
2285,Rudiger,2.0,541,18103572.0,464085.0,2026-01-02
50,Koke,3.0,530,20823640.0,462912.0,2026-01-02
1323,Dani Olmo,3.0,529,25912440.0,453901.0,2026-01-02
2207,Camavinga,3.0,541,15582339.0,424040.0,2026-01-02
1496,Raphinha,4.0,529,180088708.0,406253.0,2026-01-02
2278,Marcos Alonso,2.0,538,20778544.0,396934.0,2026-01-02
30510,Berenguer,4.0,531,27018703.0,386902.0,2026-01-02
184420,Carlos Romero,2.0,540,37539523.0,353993.0,2026-01-02
756,Valverde,3.0,541,67338870.0,314584.0,2026-01-02
50048,Muriqi,4.0,798,28357644.0,301419.0,2026-01-02
161928,Álex Balde,2.0,529,40782473.0,298244.0,2026-01-02
32862,Take Kubo,3.0,548,21661312.0,266467.0,2026-01-02
336594,Barrios,3.0,530,69641283.0,259437.0,2026-01-02
361497,Huijsen,2.0,541,59254104.0,231788.0,2026-01-02
182519,Moleiro,3.0,533,102407910.0,230995.0,2026-01-02
46746,Budimir,4.0,727,17806149.0,226908.0,2026-01-02
47249,L. Cabrera,2.0,540,18020178.0,206394.0,2026-01-02
396623,Pau Cubarsí,2.0,529,35962425.0,205237.0,2026-01-02
295793,Marc Pubill,2.0,530,3923686.0,168099.0,2026-01-02
56,Griezmann,4.0,530,26123277.0,141260.0,2026-01-02
182661,Álvaro Núñez,2.0,797,23396789.0,141152.0,2026-01-02
730,Courtois,1.0,541,45183758.0,137124.0,2026-01-02
47398,Pere Milla,4.0,540,20744418.0,137015.0,2026-01-02
30765,I. Radu,1.0,538,10500202.0,133025.0,2026-01-02
925,Guedes,4.0,548,17873435.0,128673.0,2026-01-02
1561,Bartra,2.0,543,35667243.0,107384.0,2026-01-02
46733,Raíllo,2.0,798,7173169.0,96879.0,2026-01-02
46799,Edu Expósito,3.0,540,66086475.0,90242.0,2026-01-02
47988,Starfelt,2.0,538,2349974.0,83908.0,2026-01-02
179955,Javi Rueda,2.0,538,3830866.0,82234.0,2026-01-02
1257,Koundé,2.0,529,32421902.0,78497.0,2026-01-02
67939,Aimar Oroz,3.0,727,5480730.0,67811.0,2026-01-02
343202,Á. Rodríguez,4.0,797,2591527.0,66837.0,2026-01-02
47336,Darder,3.0,798,11160116.0,64066.0,2026-01-02
195100,Natan,2.0,543,51325802.0,62053.0,2026-01-02
491248,Jan Virgili,4.0,798,10572152.0,62018.0,2026-01-02
273732,T. Dolan,4.0,540,4171229.0,58347.0,2026-01-02
336711,Gonzalo,4.0,541,795322.0,53089.0,2026-01-02
47478,Fernando Calero,2.0,540,2258580.0,52701.0,2026-01-02
269163,Swedberg,3.0,538,1425904.0,44105.0,2026-01-02
47349,Javi Puado,3.0,540,4932910.0,37327.0,2026-01-02
2182,Tsygankov,4.0,547,4958107.0,37020.0,2026-01-02
46658,Rubén García,3.0,727,7173440.0,32112.0,2026-01-02
18895,Lejeune,2.0,728,35259896.0,31064.0,2026-01-02
910,A. Sánchez,4.0,536,2371008.0,28609.0,2026-01-02
46662,Moncayola,3.0,727,5859509.0,27551.0,2026-01-02
21701,Rosier,2.0,727,3872529.0,27477.0,2026-01-02
47294,Iñaki Williams,4.0,531,10064682.0,25377.0,2026-01-02
47264,Hugo Duro,4.0,532,5446037.0,25301.0,2026-01-02
47341,Marc Roca,3.0,543,1146967.0,22017.0,2026-01-02
129678,A. Ounahi,3.0,547,8597634.0,20932.0,2026-01-02
286639,Bryan Zaragoza,4.0,538,3417055.0,20149.0,2026-01-02
190485,Samú Costa,3.0,798,2016104.0,20070.0,2026-01-02
21087,B. Mendy,3.0,536,1125615.0,20070.0,2026-01-02
271580,Martim Neto,3.0,797,1718792.0,18982.0,2026-01-02
47119,Aitor Ruibal,2.0,543,843612.0,17957.0,2026-01-02
47533,Catena,2.0,727,60112928.0,17667.0,2026-01-02
300885,Nelson Deossa,3.0,543,689419.0,12780.0,2026-01-02
162012,Ruggeri,2.0,530,3513246.0,12526.0,2026-01-02
157988,Carreira,2.0,538,1468785.0,12060.0,2026-01-02
47566,Javi Galán,2.0,727,636196.0,11754.0,2026-01-02
181734,Chavarría,2.0,728,18323299.0,9115.0,2026-01-02
6503,Nahuel,2.0,530,1050476.0,8150.0,2026-01-02
126,Iñaki Peña,1.0,797,2342868.0,7490.0,2026-01-02
600938,Pablo Agudin,3.0,718,529179.0,6565.0,2026-01-02
333502,Miguel Román,3.0,538,572690.0,6228.0,2026-01-02
421044,Íñigo Arguibide,2.0,727,547069.0,5819.0,2026-01-02
568156,Selton Sánchez,3.0,531,552151.0,5607.0,2026-01-02
543466,Ibon Sánchez,3.0,531,553878.0,5536.0,2026-01-02
337843,Fraga,1.0,548,555159.0,5482.0,2026-01-02
381197,Asier Osambela,3.0,727,555262.0,5478.0,2026-01-02
162585,Pol Tristán,1.0,540,555350.0,5474.0,2026-01-02
197196,Ramón,2.0,536,555584.0,5464.0,2026-01-02
297742,Antoniu Roca,4.0,540,555725.0,5459.0,2026-01-02
309364,Coba,3.0,546,556058.0,5445.0,2026-01-02
47407,A. Nyom,2.0,546,556132.0,5442.0,2026-01-02
439633,Samu Becerra,4.0,728,556159.0,5441.0,2026-01-02
21584,Ristić,2.0,538,556338.0,5433.0,2026-01-02
353803,Mawuli Mensah,3.0,543,556556.0,5424.0,2026-01-02
411702,Pau Cabanes,4.0,533,556563.0,5424.0,2026-01-02
432476,Krapyvtsov,1.0,547,556582.0,5423.0,2026-01-02
383647,Kochen,1.0,529,556575.0,5423.0,2026-01-02
445973,Toni Fernández,4.0,529,556570.0,5423.0,2026-01-02
308346,Alberto Flores,1.0,536,556690.0,5418.0,2026-01-02
284415,Yago,4.0,797,556770.0,5415.0,2026-01-02
189832,Marrero,1.0,548,556846.0,5412.0,2026-01-02
306727,Jhon Solís,3.0,547,556846.0,5412.0,2026-01-02
329722,Yoel Lago,2.0,538,556878.0,5411.0,2026-01-02
46987,Raúl Fernández,1.0,542,556938.0,5408.0,2026-01-02
104832,Diego Pampín,2.0,539,556966.0,5407.0,2026-01-02
19613,Ovie Ejaria,3.0,718,556966.0,5407.0,2026-01-02
315604,Alejandro Iturbe,1.0,797,557003.0,5405.0,2026-01-02
156488,Cárdenas,1.0,728,557056.0,5403.0,2026-01-02
913,Cristian Rivero,1.0,532,557091.0,5402.0,2026-01-02
491250,Jofre Torrents,2.0,529,557092.0,5402.0,2026-01-02
509470,Thiago Pitarch,3.0,541,557167.0,5398.0,2026-01-02
402580,Marco Esteban,2.0,718,557367.0,5390.0,2026-01-02
8746,Bambo Diaby,2.0,797,557391.0,5389.0,2026-01-02
66491,Letacek,1.0,546,557601.0,5380.0,2026-01-02
