id,name,team_id,points,position,market_value,variation,jornada,season,date
195923,Carmona,536,2,2.0,7539379.0,-141287.0,18,2025,2026-01-08
957,Sow,536,1,3.0,615889.0,598.0,18,2025,2026-01-08
182772,Juanlu,536,1,3.0,808635.0,-7433.0,18,2025,2026-01-08
197196,Ramón,536,0,2.0,571551.0,2445.0,18,2025,2026-01-08
1489,Gudelj,536,4,3.0,683282.0,-2210.0,18,2025,2026-01-08
21004,Agoumé,536,2,3.0,2739442.0,-38619.0,18,2025,2026-01-08
162126,Peque,536,2,4.0,584124.0,1921.0,18,2025,2026-01-08
185398,Isaac Romero,536,0,4.0,1865478.0,-43246.0,18,2025,2026-01-08
19172,Nyland,536,0,1.0,670217.0,-1666.0,18,2025,2026-01-08
297311,Kike Salas,536,7,2.0,695142.0,-2705.0,18,2025,2026-01-08
338902,Andrés Castrín,536,0,2.0,593008.0,1551.0,18,2025,2026-01-08
2924,A. Januzaj,536,4,3.0,589661.0,1691.0,18,2025,2026-01-08
331607,Manu Bueno,536,0,3.0,573335.0,2371.0,18,2025,2026-01-08
308346,Alberto Flores,536,0,1.0,572451.0,2408.0,18,2025,2026-01-08
557,Vlachodimos,536,1,1.0,2611951.0,-43855.0,18,2025,2026-01-08
21087,B. Mendy,536,2,3.0,1117649.0,-12551.0,18,2025,2026-01-08
47389,Jordán,536,0,3.0,578308.0,2164.0,18,2025,2026-01-08
341453,Oso,536,-2,2.0,586562.0,1820.0,18,2025,2026-01-08
41208,Fábio Cardoso,536,0,2.0,598847.0,1308.0,18,2025,2026-01-08
910,A. Sánchez,536,1,4.0,2354105.0,-27815.0,18,2025,2026-01-08
734,Dela,539,8,2.0,574950.0,2303.0,18,2025,2026-01-08
192032,Iván Romero,539,10,4.0,3115584.0,-15201.0,18,2025,2026-01-08
104949,Pablo Martínez,539,6,3.0,612223.0,750.0,18,2025,2026-01-08
182603,Olasagasti,539,1,3.0,574683.0,2315.0,18,2025,2026-01-08
182639,Unai Vencedor,539,1,3.0,575949.0,2262.0,18,2025,2026-01-08
408320,Jorge Cabello,539,0,2.0,574806.0,2309.0,18,2025,2026-01-08
182770,Carlos Álvarez,539,13,3.0,6327396.0,72589.0,18,2025,2026-01-08
106727,Oriol Rey,539,0,3.0,585964.0,1845.0,18,2025,2026-01-08
128985,Iker Losada,539,10,3.0,578531.0,2154.0,18,2025,2026-01-08
286611,Pablo Campos,539,0,1.0,598088.0,1339.0,18,2025,2026-01-08
0,Cayetano,539,0,1.0,0.0,0.0,18,2025,2026-01-08
421807,M. Moreno,539,7,2.0,727021.0,-4033.0,18,2025,2026-01-08
1118,J. Toljan,539,4,2.0,915548.0,-11888.0,18,2025,2026-01-08
104832,Diego Pampín,539,6,2.0,572677.0,2398.0,18,2025,2026-01-08
47467,José Luis Morales,539,8,4.0,633375.0,-131.0,18,2025,2026-01-08
450497,Carlos Espí,539,8,4.0,573663.0,2357.0,18,2025,2026-01-08
0,Nacho Perez,539,0,2.0,0.0,0.0,18,2025,2026-01-08
2741,M. Ryan,539,18,1.0,1748578.0,-3960.0,18,2025,2026-01-08
125239,Kevin Arriaga,539,13,3.0,691561.0,-2555.0,18,2025,2026-01-08
316517,A. Matturro,539,2,2.0,584785.0,1894.0,18,2025,2026-01-08
0,Luís Castro,539,5,5.0,0.0,0.0,18,2025,2026-01-08
47336,Darder,798,1,3.0,10768754.0,-175966.0,18,2025,2026-01-08
46733,Raíllo,798,2,2.0,7218703.0,-74564.0,18,2025,2026-01-08
46738,Valjent,798,4,2.0,3334505.0,-36434.0,18,2025,2026-01-08
1701,Morlanes,798,3,3.0,606432.0,992.0,18,2025,2026-01-08
0,Jagoba Arrasate,798,0,5.0,0.0,0.0,18,2025,2026-01-08
190485,Samú Costa,798,0,3.0,1957163.0,-29632.0,18,2025,2026-01-08
30924,Kumbulla,798,0,2.0,586085.0,1840.0,18,2025,2026-01-08
335697,David López,798,0,2.0,573363.0,2370.0,18,2025,2026-01-08
179139,Leo Román,798,2,1.0,2016493.0,-22504.0,18,2025,2026-01-08
26302,Maffeo,798,3,2.0,1932292.0,-35495.0,18,2025,2026-01-08
920,Lato,798,0,2.0,573995.0,2343.0,18,2025,2026-01-08
107194,Antonio S.,798,2,3.0,576309.0,2247.0,18,2025,2026-01-08
64268,Mojica,798,0,2.0,10526602.0,-192029.0,18,2025,2026-01-08
414,Mascarell,798,2,3.0,650400.0,-840.0,18,2025,2026-01-08
46751,Abdón,798,0,4.0,575651.0,2274.0,18,2025,2026-01-08
25375,T. Asano,798,1,4.0,580855.0,2057.0,18,2025,2026-01-08
50048,Muriqi,798,10,4.0,29561030.0,350040.0,18,2025,2026-01-08
285909,Pablo Torre,798,1,3.0,1139263.0,-21210.0,18,2025,2026-01-08
108519,Mateu Morey,798,0,2.0,586278.0,1831.0,18,2025,2026-01-08
293604,Javi Llabrés,798,1,4.0,573206.0,2376.0,18,2025,2026-01-08
313059,M. Joseph,798,2,4.0,1286886.0,-27360.0,18,2025,2026-01-08
152955,L. Bergström,798,0,1.0,595997.0,1427.0,18,2025,2026-01-08
0,Salhi,798,0,2.0,0.0,0.0,18,2025,2026-01-08
491248,Jan Virgili,798,1,4.0,10393414.0,-120788.0,18,2025,2026-01-08
47334,David López,547,0,2.0,599392.0,1285.0,18,2025,2026-01-08
1700,Iván Martín,547,2,3.0,2391964.0,-38666.0,18,2025,2026-01-08
283668,Arnau,547,6,2.0,1296825.0,-8530.0,18,2025,2026-01-08
2182,Tsygankov,547,9,4.0,5196359.0,112135.0,18,2025,2026-01-08
531,Daley Blind,547,2,2.0,1151299.0,-15734.0,18,2025,2026-01-08
162434,Alejandro Francés,547,3,2.0,576300.0,2247.0,18,2025,2026-01-08
281795,Asprilla,547,0,4.0,672855.0,-1776.0,18,2025,2026-01-08
45,Lemar,547,5,3.0,598787.0,1310.0,18,2025,2026-01-08
20,Witsel,547,3,3.0,3114814.0,-49743.0,18,2025,2026-01-08
158,Gazzaniga,547,4,1.0,2398535.0,-33486.0,18,2025,2026-01-08
432476,Krapyvtsov,547,0,1.0,572363.0,2411.0,18,2025,2026-01-08
306727,Jhon Solís,547,0,3.0,572578.0,2402.0,18,2025,2026-01-08
0,Michel,547,5,5.0,0.0,0.0,18,2025,2026-01-08
313025,Hugo Rincón,547,0,2.0,576260.0,2249.0,18,2025,2026-01-08
414359,Vitor Reis,547,11,2.0,2384390.0,26631.0,18,2025,2026-01-08
455366,Papa Ba,547,0,4.0,571613.0,2443.0,18,2025,2026-01-08
339105,Joel Roca,547,1,3.0,604206.0,1084.0,18,2025,2026-01-08
47547,Álex Moreno,547,2,2.0,856099.0,-9411.0,18,2025,2026-01-08
161670,V. Vanat,547,11,4.0,2318718.0,-8718.0,18,2025,2026-01-08
2061,Bryan Gil,547,6,4.0,1604799.0,-18004.0,18,2025,2026-01-08
0,Lass,547,0,3.0,0.0,0.0,18,2025,2026-01-08
0,Andreev,547,0,1.0,0.0,0.0,18,2025,2026-01-08
0,Arango,547,0,4.0,0.0,0.0,18,2025,2026-01-08
128582,De Frutos,728,9,4.0,26002331.0,520132.0,18,2025,2026-01-08
47543,Álvaro García,728,2,3.0,18169831.0,-206949.0,18,2025,2026-01-08
47109,Ó. Valentín,728,3,3.0,947587.0,-7437.0,18,2025,2026-01-08
18895,Lejeune,728,9,2.0,38212920.0,726989.0,18,2025,2026-01-08
181734,Chavarría,728,3,2.0,17976781.0,-131300.0,18,2025,2026-01-08
0,Iñigo Perez,728,2,5.0,0.0,0.0,18,2025,2026-01-08
156488,Cárdenas,728,0,1.0,572750.0,2395.0,18,2025,2026-01-08
46759,Espino,728,1,2.0,577894.0,2181.0,18,2025,2026-01-08
1703,Ratiu,728,5,2.0,45507753.0,500074.0,18,2025,2026-01-08
131546,Isi,728,7,4.0,8997644.0,11475.0,18,2025,2026-01-08
47285,Unai López,728,10,3.0,5292291.0,58750.0,18,2025,2026-01-08
46887,Pedro Díaz,728,1,3.0,604294.0,1081.0,18,2025,2026-01-08
122657,Nteka,728,0,4.0,576805.0,2226.0,18,2025,2026-01-08
52,Camello,728,4,4.0,584081.0,1923.0,18,2025,2026-01-08
162931,Fran Pérez,728,0,3.0,620207.0,418.0,18,2025,2026-01-08
47557,Trejo,728,0,3.0,584617.0,1901.0,18,2025,2026-01-08
11379,A. Batalla,728,6,1.0,13710905.0,-111656.0,18,2025,2026-01-08
47414,Gumbau,728,1,3.0,578476.0,2157.0,18,2025,2026-01-08
1847,Luiz Felipe,728,4,2.0,616609.0,568.0,18,2025,2026-01-08
314006,Jozhua Vertrouwd,728,0,2.0,574505.0,2322.0,18,2025,2026-01-08
439633,Samu Becerra,728,0,4.0,572018.0,2426.0,18,2025,2026-01-08
0,Adrián Molina,728,0,1.0,0.0,0.0,18,2025,2026-01-08
0,De Las Sias,728,0,2.0,0.0,0.0,18,2025,2026-01-08
358431,Nobel Mendy,728,2,2.0,5555886.0,-88383.0,18,2025,2026-01-08
47247,David Soria,546,5,1.0,8723565.0,-106332.0,18,2025,2026-01-08
47258,Arambarri,546,9,3.0,19675045.0,265053.0,18,2025,2026-01-08
46795,Domingos Duarte,546,2,2.0,1614034.0,-40992.0,18,2025,2026-01-08
119742,Juan Iglesias,546,1,2.0,1021862.0,-16318.0,18,2025,2026-01-08
0,José Bordalás,546,2,5.0,0.0,0.0,18,2025,2026-01-08
66491,Letacek,546,0,1.0,573194.0,2377.0,18,2025,2026-01-08
18867,Diego Rico,546,1,2.0,1334241.0,-27634.0,18,2025,2026-01-08
47085,Luis Milla,546,11,3.0,118173011.0,1059727.0,18,2025,2026-01-08
309364,Coba,546,2,3.0,571935.0,2429.0,18,2025,2026-01-08
343205,Mario Martín,546,1,3.0,733973.0,-4322.0,18,2025,2026-01-08
394573,Adrian Liso,546,3,4.0,2890438.0,-61911.0,18,2025,2026-01-08
47250,Djené,546,3,2.0,4166381.0,-111971.0,18,2025,2026-01-08
0,Joselu,546,1,4.0,0.0,0.0,18,2025,2026-01-08
18794,Kiko Femenía,546,5,2.0,1095897.0,-18762.0,18,2025,2026-01-08
46860,Javi Muñoz,546,5,3.0,586397.0,1827.0,18,2025,2026-01-08
41976,Neyou,546,0,3.0,605147.0,1045.0,18,2025,2026-01-08
184459,Álex Sancris,546,2,4.0,587127.0,1796.0,18,2025,2026-01-08
47320,Juanmi,546,1,4.0,616253.0,583.0,18,2025,2026-01-08
47407,A. Nyom,546,0,2.0,571996.0,2427.0,18,2025,2026-01-08
0,Mykyta,546,0,4.0,0.0,0.0,18,2025,2026-01-08
0,Lucas Laso,546,0,2.0,0.0,0.0,18,2025,2026-01-08
0,Montes,546,0,2.0,0.0,0.0,18,2025,2026-01-08
0,Solozabal,546,0,3.0,0.0,0.0,18,2025,2026-01-08
730,Courtois,541,8,1.0,47363669.0,667685.0,18,2025,2026-01-08
2207,Camavinga,541,4,3.0,18557849.0,825409.0,18,2025,2026-01-08
1271,Tchouaméni,541,5,3.0,56111482.0,760995.0,18,2025,2026-01-08
291964,Arda Guler,541,8,3.0,81212217.0,-1024091.0,18,2025,2026-01-08
341640,Raúl Asencio,541,11,2.0,7270079.0,169696.0,18,2025,2026-01-08
47400,Lunin,541,0,1.0,586272.0,1832.0,18,2025,2026-01-08
733,Carvajal,541,0,2.0,3416314.0,98942.0,18,2025,2026-01-08
653,Mendy,541,1,2.0,599132.0,1296.0,18,2025,2026-01-08
505,Alaba,541,0,2.0,597336.0,1371.0,18,2025,2026-01-08
2285,Rudiger,541,5,2.0,20856798.0,599440.0,18,2025,2026-01-08
736,Fran García,541,9,2.0,674478.0,-1844.0,18,2025,2026-01-08
756,Valverde,541,14,3.0,74858905.0,2274756.0,18,2025,2026-01-08
748,Ceballos,541,2,3.0,717914.0,-3653.0,18,2025,2026-01-08
10009,Rodrygo,541,19,4.0,31426093.0,1898279.0,18,2025,2026-01-08
129718,Bellingham,541,8,3.0,135308278.0,-222474.0,18,2025,2026-01-08
762,Vinicius Jr.,541,3,4.0,116210313.0,-1863765.0,18,2025,2026-01-08
284300,Carreras,541,4,2.0,73863730.0,1710159.0,18,2025,2026-01-08
0,Xabi Alonso,541,5,5.0,0.0,0.0,18,2025,2026-01-08
336711,Gonzalo,541,19,4.0,1320742.0,183111.0,18,2025,2026-01-08
449249,Franco,541,3,4.0,6925195.0,-152490.0,18,2025,2026-01-08
0,Mestre,541,0,1.0,0.0,0.0,18,2025,2026-01-08
509470,Thiago Pitarch,541,0,3.0,572840.0,2391.0,18,2025,2026-01-08
0,D. Jiménez,541,0,2.0,0.0,0.0,18,2025,2026-01-08
1561,Bartra,543,0,2.0,36017802.0,-92319.0,18,2025,2026-01-08
286084,Altimira,543,0,3.0,1567051.0,-39034.0,18,2025,2026-01-08
1697,Fornals,543,3,3.0,111274164.0,-1307658.0,18,2025,2026-01-08
47582,Cucho,543,8,4.0,105139231.0,1195330.0,18,2025,2026-01-08
18812,Adrián,543,0,1.0,574128.0,2338.0,18,2025,2026-01-08
1439,Bellerín,543,-3,2.0,11975574.0,-141819.0,18,2025,2026-01-08
47302,Diego Llorente,543,0,2.0,611717.0,772.0,18,2025,2026-01-08
1578,G. Lo Celso,543,-1,3.0,24124176.0,-460259.0,18,2025,2026-01-08
47341,Marc Roca,543,1,3.0,1227480.0,11702.0,18,2025,2026-01-08
47119,Aitor Ruibal,543,9,2.0,967255.0,40579.0,18,2025,2026-01-08
47579,Chimy Ávila,543,0,4.0,584008.0,1926.0,18,2025,2026-01-08
46990,Valles,543,1,1.0,3296633.0,-10779.0,18,2025,2026-01-08
195100,Natan,543,-2,2.0,50931298.0,-456387.0,18,2025,2026-01-08
136117,Riquelme,543,1,3.0,2826955.0,-57956.0,18,2025,2026-01-08
0,Manuel Pellegrini,543,0,5.0,0.0,0.0,18,2025,2026-01-08
355004,Valentín,543,0,2.0,1801679.0,-42829.0,18,2025,2026-01-08
1557,Pau López,543,0,1.0,1461966.0,-34655.0,18,2025,2026-01-08
300885,Nelson Deossa,543,2,3.0,714085.0,-3269.0,18,2025,2026-01-08
1564,Junior Firpo,543,0,2.0,1272579.0,-26764.0,18,2025,2026-01-08
1631,R. Rodríguez,543,-2,2.0,1668385.0,-7972.0,18,2025,2026-01-08
334574,Ángel Ortiz,543,0,2.0,580906.0,2055.0,18,2025,2026-01-08
443163,Pablo García,543,2,4.0,607423.0,950.0,18,2025,2026-01-08
9971,Antony,543,0,4.0,108937241.0,-1680566.0,18,2025,2026-01-08
286601,O. El Hilali,540,1,2.0,2657062.0,-12509.0,18,2025,2026-01-08
127426,Pol Lozano,540,2,3.0,735488.0,-4386.0,18,2025,2026-01-08
46799,Edu Expósito,540,8,3.0,70473919.0,1518619.0,18,2025,2026-01-08
182674,Jofre,540,2,4.0,576850.0,2224.0,18,2025,2026-01-08
47478,Fernando Calero,540,2,2.0,2512953.0,40813.0,18,2025,2026-01-08
47398,Pere Milla,540,4,4.0,21610882.0,193292.0,18,2025,2026-01-08
2813,Dmitrovic,540,3,1.0,13993167.0,13643.0,18,2025,2026-01-08
47249,L. Cabrera,540,4,2.0,19491961.0,346989.0,18,2025,2026-01-08
47396,Kike García,540,0,4.0,706624.0,-3183.0,18,2025,2026-01-08
187987,Terrats,540,0,3.0,595494.0,1448.0,18,2025,2026-01-08
47349,Javi Puado,540,0,3.0,5305070.0,66203.0,18,2025,2026-01-08
312990,Roberto Fernández,540,7,4.0,10846084.0,163416.0,18,2025,2026-01-08
184407,José Salinas,540,0,2.0,575372.0,2286.0,18,2025,2026-01-08
47256,Miguel Rubio,540,0,2.0,585957.0,1845.0,18,2025,2026-01-08
199824,Rubén,540,0,2.0,577066.0,2215.0,18,2025,2026-01-08
297742,Antoniu Roca,540,0,4.0,571663.0,2440.0,18,2025,2026-01-08
182735,Ángel Fortuño,540,0,1.0,574058.0,2341.0,18,2025,2026-01-08
184420,Carlos Romero,540,3,2.0,40512473.0,697024.0,18,2025,2026-01-08
183699,Urko,540,4,2.0,629855.0,433.0,18,2025,2026-01-08
273732,T. Dolan,540,4,4.0,4444405.0,54681.0,18,2025,2026-01-08
0,Manolo González,540,0,5.0,0.0,0.0,18,2025,2026-01-08
359603,Koleosho,540,0,4.0,610701.0,814.0,18,2025,2026-01-08
282054,C. Riedel,540,0,2.0,1036188.0,-16915.0,18,2025,2026-01-08
0,Ferri,540,0,3.0,0.0,0.0,18,2025,2026-01-08
133609,Pedri,529,2,3.0,163940671.0,1709564.0,18,2025,2026-01-08
161928,Álex Balde,529,9,2.0,44170198.0,859980.0,18,2025,2026-01-08
340626,Fermín,529,15,3.0,125101320.0,509720.0,18,2025,2026-01-08
396623,Pau Cubarsí,529,8,2.0,38181526.0,534861.0,18,2025,2026-01-08
0,Hansi Flick,529,5,5.0,0.0,0.0,18,2025,2026-01-08
127,Ter Stegen,529,0,1.0,619611.0,443.0,18,2025,2026-01-08
619,Eric García,529,12,2.0,65022108.0,920056.0,18,2025,2026-01-08
1257,Koundé,529,9,2.0,35511724.0,717786.0,18,2025,2026-01-08
538,De Jong,529,7,3.0,51473016.0,350019.0,18,2025,2026-01-08
931,Ferran Torres,529,4,4.0,110501295.0,-581987.0,18,2025,2026-01-08
1323,Dani Olmo,529,10,3.0,31626945.0,1553403.0,18,2025,2026-01-08
329728,Casadó,529,0,3.0,1702082.0,-40867.0,18,2025,2026-01-08
521,Lewandowski,529,7,4.0,60322996.0,-951668.0,18,2025,2026-01-08
1496,Raphinha,529,4,4.0,176923743.0,-992998.0,18,2025,2026-01-08
