id,images,positionId,nickname,lastSeasonPoints,playerStatus,team,points,averagePoints,weekPoints
67,{'transparent': {'256x256': 'https://assets-fantasy.llt-services.com/players/t175/p67/256x256/p67_t175_1_001_000.png'}},2,Marcos Llorente,192,injured,"{'id': '2', 'name': 'Atlético de Madrid', 'slug': 'atletico-de-madrid', 'badgeColor': 'https://assets-fantasy.llt-services.com/teambadge/t175/color/t175_atletico-de-madrid.png'}",124,6.526315789473684,"[{'weekNumber': 1, 'points': 1}, {'weekNumber': 2, 'points': 4}, {'weekNumber': 3, 'points': 4}, {'weekNumber': 4, 'points': 12}, {'weekNumber': 5, 'points': 3}, {'weekNumber': 6, 'points': 12}, {'weekNumber': 7, 'points': 2}, {'weekNumber': 8, 'points': 7}, {'weekNumber': 9, 'points': 12}, {'weekNumber': 10, 'points': 9}, {'weekNumber': 11, 'points': 8}, {'weekNumber': 12, 'points': 10}, {'weekNumber': 13, 'points': 4}, {'weekNumber': 17, 'points': 11}, {'weekNumber': 18, 'points': 4}, {'weekNumber': 20, 'points': 8}, {'weekNumber': 21, 'points': 8}, {'weekNumber': 22, 'points': 2}, {'weekNumber': 23, 'points': 3}]"
68,{'transparent': {'256x256': 'https://assets-fantasy.llt-services.com/players/t174/p68/256x256/p68_t174_1_001_000.png'}},1,Unai Simón,166,ok,"{'id': '3', 'name': 'Athletic Club', 'slug': 'athletic-club', 'badgeColor': 'https://assets-fantasy.llt-services.com/teambadge/t174/color/t174_athletic-club.png'}",134,5.826086956521739,"[{'weekNumber': 1, 'points': 3}, {'weekNumber': 2, 'points': 8}, {'weekNumber': 3, 'points': 2}, {'weekNumber': 4, 'points': 7}, {'weekNumber': 5, 'points': 3}, {'weekNumber': 6, 'points': 8}, {'weekNumber': 7, 'points': 7}, {'weekNumber': 8, 'points': 4}, {'weekNumber': 9, 'points': 12}, {'weekNumber': 10, 'points': 10}, {'weekNumber': 11, 'points': 2}, {'weekNumber': 12, 'points': 11}, {'weekNumber': 13, 'points': -1}, {'weekNumber': 14, 'points': 11}, {'weekNumber': 19, 'points': 4}, {'weekNumber': 15, 'points': 9}, {'weekNumber': 16, 'points': 1}, {'weekNumber': 17, 'points': 4}, {'weekNumber': 18, 'points': 5}, {'weekNumber': 20, 'points': 11}, {'weekNumber': 21, 'points': 5}, {'weekNumber': 22, 'points': 6}, {'weekNumber': 23, 'points': 2}]"
74,{'transparent': {'256x256': 'https://assets-fantasy.llt-services.com/players/t174/p74/256x256/p74_t174_1_001_000.png'}},2,Yuri,140,ok,"{'id': '3', 'name': 'Athletic Club', 'slug': 'athletic-club', 'badgeColor': 'https://assets-fantasy.llt-services.com/teambadge/t174/color/t174_athletic-club.png'}",93,4.428571428571429,"[{'weekNumber': 1, 'points': 1}, {'weekNumber': 2, 'points': 9}, {'weekNumber': 3, 'points': 5}, {'weekNumber': 4, 'points': 4}, {'weekNumber': 5, 'points': 3}, {'weekNumber': 6, 'points': 3}, {'weekNumber': 7, 'points': 5}, {'weekNumber': 8, 'points': 4}, {'weekNumber': 9, 'points': 7}, {'weekNumber': 10, 'points': 6}, {'weekNumber': 11, 'points': 1}, {'weekNumber': 12, 'points': 9}, {'weekNumber': 13, 'points': -1}, {'weekNumber': 14, 'points': 9}, {'weekNumber': 19, 'points': 0}, {'weekNumber': 15, 'points': 10}, {'weekNumber': 16, 'points': 3}, {'weekNumber': 20, 'points': 3}, {'weekNumber': 21, 'points': 0}, {'weekNumber': 22, 'points': 8}, {'weekNumber': 23, 'points': 4}]"
77,{'transparent': {'256x256': 'https://assets-fantasy.llt-services.com/players/t174/p77/256x256/p77_t174_1_001_000.png'}},2,Yeray,155,out_of_league,"{'id': '3', 'name': 'Athletic Club', 'slug': 'athletic-club', 'badgeColor': 'https://assets-fantasy.llt-services.com/teambadge/t174/color/t174_athletic-club.png'}",0,0.0,[]
91,{'transparent': {'256x256': 'https://assets-fantasy.llt-services.com/players/t174/p91/256x256/p91_t174_1_001_000.png'}},4,Iñaki Williams,208,injured,"{'id': '3', 'name': 'Athletic Club', 'slug': 'athletic-club', 'badgeColor': 'https://assets-fantasy.llt-services.com/teambadge/t174/color/t174_athletic-club.png'}",62,4.133333333333334,"[{'weekNumber': 1, 'points': 2}, {'weekNumber': 2, 'points': 3}, {'weekNumber': 3, 'points': 7}, {'weekNumber': 4, 'points': 2}, {'weekNumber': 5, 'points': 3}, {'weekNumber': 6, 'points': 2}, {'weekNumber': 7, 'points': 6}, {'weekNumber': 8, 'points': 12}, {'weekNumber': 9, 'points': 1}, {'weekNumber': 16, 'points': 1}, {'weekNumber': 17, 'points': 2}, {'weekNumber': 18, 'points': 3}, {'weekNumber': 20, 'points': 3}, {'weekNumber': 22, 'points': 1}, {'weekNumber': 23, 'points': 14}]"
92,{'transparent': {'256x256': 'https://assets-fantasy.llt-services.com/players/t174/p92/256x256/p92_t174_1_001_000.png'}},3,Vesga,77,ok,"{'id': '3', 'name': 'Athletic Club', 'slug': 'athletic-club', 'badgeColor': 'https://assets-fantasy.llt-services.com/teambadge/t174/color/t174_athletic-club.png'}",26,1.2380952380952381,"[{'weekNumber': 1, 'points': 2}, {'weekNumber': 2, 'points': 2}, {'weekNumber': 3, 'points': 2}, {'weekNumber': 4, 'points': 2}, {'weekNumber': 5, 'points': 0}, {'weekNumber': 6, 'points': 3}, {'weekNumber': 7, 'points': 2}, {'weekNumber': 9, 'points': 0}, {'weekNumber': 10, 'points': 2}, {'weekNumber': 11, 'points': 0}, {'weekNumber': 12, 'points': 1}, {'weekNumber': 13, 'points': 3}, {'weekNumber': 14, 'points': 2}, {'weekNumber': 19, 'points': 3}, {'weekNumber': 15, 'points': 0}, {'weekNumber': 16, 'points': 0}, {'weekNumber': 17, 'points': 0}, {'weekNumber': 18, 'points': 0}, {'weekNumber': 21, 'points': 2}, {'weekNumber': 22, 'points': 0}, {'weekNumber': 23, 'points': 0}]"
121,{'transparent': {'256x256': 'https://assets-fantasy.llt-services.com/players/t185/p121/256x256/p121_t185_1_001_000.png'}},2,Bartra,138,ok,"{'id': '5', 'name': 'Real Betis', 'slug': 'real-betis', 'badgeColor': 'https://assets-fantasy.llt-services.com/teambadge/t185/color/t185_real-betis.png'}",111,5.55,"[{'weekNumber': 1, 'points': 6}, {'weekNumber': 2, 'points': 10}, {'weekNumber': 6, 'points': 14}, {'weekNumber': 3, 'points': 1}, {'weekNumber': 5, 'points': 4}, {'weekNumber': 9, 'points': 0}, {'weekNumber': 10, 'points': 1}, {'weekNumber': 11, 'points': 12}, {'weekNumber': 12, 'points': 4}, {'weekNumber': 13, 'points': 5}, {'weekNumber': 14, 'points': 8}, {'weekNumber': 15, 'points': -3}, {'weekNumber': 16, 'points': 10}, {'weekNumber': 17, 'points': 10}, {'weekNumber': 18, 'points': 0}, {'weekNumber': 19, 'points': 7}, {'weekNumber': 20, 'points': 8}, {'weekNumber': 21, 'points': 7}, {'weekNumber': 22, 'points': 5}, {'weekNumber': 23, 'points': 2}]"
140,{'transparent': {'256x256': 'https://assets-fantasy.llt-services.com/players/t176/p140/256x256/p140_t176_1_001_000.png'}},1,Iván Villar,22,ok,"{'id': '6', 'name': 'Celta', 'slug': 'rc-celta', 'badgeColor': 'https://assets-fantasy.llt-services.com/teambadge/t176/color/t176_rc-celta.png'}",0,0.0,"[{'weekNumber': 1, 'points': 0}, {'weekNumber': 2, 'points': 0}, {'weekNumber': 6, 'points': 0}, {'weekNumber': 3, 'points': 0}, {'weekNumber': 4, 'points': 0}, {'weekNumber': 5, 'points': 0}, {'weekNumber': 7, 'points': 0}, {'weekNumber': 8, 'points': 0}, {'weekNumber': 9, 'points': 0}, {'weekNumber': 10, 'points': 0}, {'weekNumber': 11, 'points': 0}, {'weekNumber': 12, 'points': 0}, {'weekNumber': 13, 'points': 0}, {'weekNumber': 14, 'points': 0}, {'weekNumber': 15, 'points': 0}, {'weekNumber': 16, 'points': 0}, {'weekNumber': 17, 'points': 0}, {'weekNumber': 18, 'points': 0}, {'weekNumber': 19, 'points': 0}, {'weekNumber': 20, 'points': 0}, {'weekNumber': 21, 'points': 0}, {'weekNumber': 22, 'points': 0}, {'weekNumber': 23, 'points': 0}]"
148,{'transparent': {'256x256': 'https://assets-fantasy.llt-services.com/players/t176/p148/256x256/p148_t176_1_001_000.png'}},3,Fran Beltrán,133,ok,"{'id': '6', 'name': 'Celta', 'slug': 'rc-celta', 'badgeColor': 'https://assets-fantasy.llt-services.com/teambadge/t176/color/t176_rc-celta.png'}",46,2.090909090909091,"[{'weekNumber': 1, 'points': 3}, {'weekNumber': 2, 'points': 2}, {'weekNumber': 6, 'points': 0}, {'weekNumber': 3, 'points': 0}, {'weekNumber': 4, 'points': 0}, {'weekNumber': 5, 'points': 6}, {'weekNumber': 7, 'points': 0}, {'weekNumber': 8, 'points': 2}, {'weekNumber': 9, 'points': 1}, {'weekNumber': 10, 'points': 0}, {'weekNumber': 11, 'points': 4}, {'weekNumber': 12, 'points': 0}, {'weekNumber': 13, 'points': 5}, {'weekNumber': 14, 'points': 5}, {'weekNumber': 15, 'points': 2}, {'weekNumber': 16, 'points': 0}, {'weekNumber': 17, 'points': 6}, {'weekNumber': 18, 'points': 0}, {'weekNumber': 19, 'points': 0}, {'weekNumber': 21, 'points': 2}, {'weekNumber': 22, 'points': 4}, {'weekNumber': 23, 'points': 4}]"
184,{'transparent': {'256x256': 'https://assets-fantasy.llt-services.com/players/t1450/p184/256x256/p184_t1450_1_001_000.png'}},1,David Soria,219,ok,"{'id': '9', 'name': 'Getafe CF', 'slug': 'getafe-cf', 'badgeColor': 'https://assets-fantasy.llt-services.com/teambadge/t1450/color/t1450_getafe-cf.png'}",135,5.869565217391305,"[{'weekNumber': 1, 'points': 10}, {'weekNumber': 2, 'points': 3}, {'weekNumber': 3, 'points': 0}, {'weekNumber': 4, 'points': 8}, {'weekNumber': 5, 'points': 1}, {'weekNumber': 6, 'points': 8}, {'weekNumber': 7, 'points': 5}, {'weekNumber': 8, 'points': 3}, {'weekNumber': 9, 'points': 10}, {'weekNumber': 10, 'points': 11}, {'weekNumber': 11, 'points': 5}, {'weekNumber': 12, 'points': 6}, {'weekNumber': 13, 'points': 8}, {'weekNumber': 14, 'points': 12}, {'weekNumber': 15, 'points': 3}, {'weekNumber': 16, 'points': 5}, {'weekNumber': 17, 'points': 2}, {'weekNumber': 18, 'points': 5}, {'weekNumber': 19, 'points': 1}, {'weekNumber': 20, 'points': 4}, {'weekNumber': 21, 'points': 3}, {'weekNumber': 22, 'points': 10}, {'weekNumber': 23, 'points': 12}]"
193,{'transparent': {'256x256': 'https://assets-fantasy.llt-services.com/players/t1450/p193/256x256/p193_t1450_1_001_000.png'}},3,Arambarri,172,ok,"{'id': '9', 'name': 'Getafe CF', 'slug': 'getafe-cf', 'badgeColor': 'https://assets-fantasy.llt-services.com/teambadge/t1450/color/t1450_getafe-cf.png'}",117,5.086956521739131,"[{'weekNumber': 1, 'points': 9}, {'weekNumber': 2, 'points': 2}, {'weekNumber': 3, 'points': 2}, {'weekNumber': 4, 'points': 8}, {'weekNumber': 5, 'points': 1}, {'weekNumber': 6, 'points': 13}, {'weekNumber': 7, 'points': 2}, {'weekNumber': 8, 'points': 2}, {'weekNumber': 9, 'points': 2}, {'weekNumber': 10, 'points': 5}, {'weekNumber': 11, 'points': 5}, {'weekNumber': 12, 'points': 4}, {'weekNumber': 13, 'points': 5}, {'weekNumber': 14, 'points': 16}, {'weekNumber': 15, 'points': 0}, {'weekNumber': 16, 'points': 3}, {'weekNumber': 17, 'points': 1}, {'weekNumber': 18, 'points': 9}, {'weekNumber': 19, 'points': 5}, {'weekNumber': 20, 'points': 2}, {'weekNumber': 21, 'points': 3}, {'weekNumber': 22, 'points': 5}, {'weekNumber': 23, 'points': 13}]"
204,{'transparent': {'256x256': 'https://assets-fantasy.llt-services.com/players/t450/p204/256x256/p204_t450_1_001_000.png'}},1,Aitor Fdez,13,ok,"{'id': '13', 'name': 'C.A. Osasuna', 'slug': 'c-a-osasuna', 'badgeColor': 'https://assets-fantasy.llt-services.com/teambadge/t450/color/t450_c-a-osasuna.png'}",-2,-0.08695652173913043,"[{'weekNumber': 1, 'points': 0}, {'weekNumber': 2, 'points': 0}, {'weekNumber': 3, 'points': 0}, {'weekNumber': 4, 'points': 0}, {'weekNumber': 5, 'points': 0}, {'weekNumber': 6, 'points': 0}, {'weekNumber': 7, 'points': 0}, {'weekNumber': 8, 'points': 0}, {'weekNumber': 9, 'points': 0}, {'weekNumber': 10, 'points': 0}, {'weekNumber': 11, 'points': 0}, {'weekNumber': 12, 'points': 0}, {'weekNumber': 13, 'points': -1}, {'weekNumber': 14, 'points': 0}, {'weekNumber': 15, 'points': 0}, {'weekNumber': 16, 'points': 0}, {'weekNumber': 17, 'points': 0}, {'weekNumber': 18, 'points': 0}, {'weekNumber': 19, 'points': -1}, {'weekNumber': 20, 'points': 0}, {'weekNumber': 21, 'points': 0}, {'weekNumber': 22, 'points': 0}, {'weekNumber': 23, 'points': 0}]"
230,{'transparent': {'256x256': 'https://assets-fantasy.llt-services.com/players/t186/p230/256x256/p230_t186_1_001_000.png'}},1,Courtois,206,ok,"{'id': '15', 'name': 'Real Madrid', 'slug': 'real-madrid', 'badgeColor': 'https://assets-fantasy.llt-services.com/teambadge/t186/color/t186_real-madrid.png'}",163,7.086956521739131,"[{'weekNumber': 1, 'points': 10}, {'weekNumber': 2, 'points': 11}, {'weekNumber': 3, 'points': 7}, {'weekNumber': 4, 'points': 4}, {'weekNumber': 5, 'points': 9}, {'weekNumber': 6, 'points': 3}, {'weekNumber': 7, 'points': -1}, {'weekNumber': 8, 'points': 2}, {'weekNumber': 9, 'points': 8}, {'weekNumber': 10, 'points': 10}, {'weekNumber': 11, 'points': 8}, {'weekNumber': 12, 'points': 11}, {'weekNumber': 13, 'points': 4}, {'weekNumber': 14, 'points': 6}, {'weekNumber': 19, 'points': 10}, {'weekNumber': 15, 'points': 4}, {'weekNumber': 16, 'points': 4}, {'weekNumber': 17, 'points': 13}, {'weekNumber': 18, 'points': 8}, {'weekNumber': 20, 'points': 10}, {'weekNumber': 21, 'points': 10}, {'weekNumber': 22, 'points': 6}, {'weekNumber': 23, 'points': 6}]"
255,{'transparent': {'256x256': 'https://assets-fantasy.llt-services.com/players/t175/p255/256x256/p255_t175_1_001_000.png'}},2,Le Normand,141,injured,"{'id': '2', 'name': 'Atlético de Madrid', 'slug': 'atletico-de-madrid', 'badgeColor': 'https://assets-fantasy.llt-services.com/teambadge/t175/color/t175_atletico-de-madrid.png'}",76,4.0,"[{'weekNumber': 1, 'points': -1}, {'weekNumber': 2, 'points': 6}, {'weekNumber': 3, 'points': 3}, {'weekNumber': 4, 'points': 7}, {'weekNumber': 5, 'points': 7}, {'weekNumber': 6, 'points': -1}, {'weekNumber': 7, 'points': 8}, {'weekNumber': 8, 'points': 4}, {'weekNumber': 9, 'points': 11}, {'weekNumber': 10, 'points': 8}, {'weekNumber': 11, 'points': 0}, {'weekNumber': 15, 'points': 0}, {'weekNumber': 16, 'points': 1}, {'weekNumber': 17, 'points': 1}, {'weekNumber': 18, 'points': 3}, {'weekNumber': 20, 'points': 2}, {'weekNumber': 21, 'points': 2}, {'weekNumber': 22, 'points': 12}, {'weekNumber': 23, 'points': 3}]"
