player_name,posicion,equipo,marketValue,pred_var_1d,pred_pct_1d,pred_mv_mañana
L. Milla,30,Getafe Club de Fútbol SAD,120020035,2.3977455e+06,2.0,122417780.5
Fermín,30,Fútbol Club Barcelona,149106845,2.347044e+06,1.57,151453889.0
Dani Olmo,30,Fútbol Club Barcelona,80733523,2.2905925e+06,2.84,83024115.5
Arda Guler,30,Real Madrid Club de Fútbol,113911412,2.0743826e+06,1.82,115985794.625
Oyarzabal,40,Real Sociedad de Fútbol SAD,90771040,1.5216716e+06,1.68,92292711.625
Guedes,30,Real Sociedad de Fútbol SAD,42367751,1.2639346e+06,2.98,43631685.625
Eric García,20,Fútbol Club Barcelona,90580915,1.2547654e+06,1.39,91835680.375
Ez Abde,40,Real Betis Balompié SAD,56322870,1.2179552e+06,2.16,57540825.25
Gerard,40,Villarreal Club de Fútbol SAD,50803128,1.0759709e+06,2.12,51879098.875
Álex Balde,20,Fútbol Club Barcelona,47776184,797696.25,1.67,48573880.25
Budimir,40,Club Atlético Osasuna,28150394,782413.4,2.78,28932807.375
Camavinga,30,Real Madrid Club de Fútbol,33133186,703353.0,2.12,33836539.0
Lewandowski,40,Fútbol Club Barcelona,52624403,700165.9,1.33,53324568.875
Catena,20,Club Atlético Osasuna,36552190,673570.25,1.84,37225760.25
Tchouaméni,30,Real Madrid Club de Fútbol,62947301,657948.0,1.05,63605249.0
Rashford,40,Fútbol Club Barcelona,44004696,654583.3,1.49,44659279.3125
Valverde,30,Real Madrid Club de Fútbol,124095685,645738.8,0.52,124741423.8125
Koundé,20,Fútbol Club Barcelona,41431816,594971.2,1.44,42026787.1875
De Frutos,40,Rayo Vallecano de Madrid SAD,41705639,476400.6,1.14,42182039.59375
Edu Expósito,30,RCD Espanyol de Barcelona,78436380,467731.16,0.6,78904111.15625
Raúl Asencio,20,Real Madrid Club de Fútbol,21367610,442557.94,2.07,21810167.9375
Huijsen,20,Real Madrid Club de Fútbol,62633743,437519.2,0.7,63071262.1875
Marcos Alonso,20,Real Club Celta de Vigo SAD,45597214,427300.53,0.94,46024514.53125
Fornals,30,Real Betis Balompié SAD,131648615,425707.53,0.32,132074322.53125
Joan García,10,Fútbol Club Barcelona,66296643,401835.66,0.61,66698478.65625
Borja Iglesias,40,Real Club Celta de Vigo SAD,21646887,331393.1,1.53,21978280.09375
D. Hancko,20,Club Atlético de Madrid SAD,39915318,322961.12,0.81,40238279.125
Moleiro,30,Villarreal Club de Fútbol SAD,134140534,278472.7,0.21,134419006.6875
N. Pépé,40,Villarreal Club de Fútbol SAD,26187214,249898.64,0.95,26437112.640625
Muriqi,40,Real Club Deportivo Mallorca SAD,50803647,248990.7,0.49,51052637.703125
Arambarri,30,Getafe Club de Fútbol SAD,20856198,241625.72,1.16,21097823.71875
Víctor Muñoz,40,Club Atlético Osasuna,12452346,235241.5,1.89,12687587.5
