player_name,posicion,equipo,marketValue,pred_var_1d,pred_pct_1d,pred_mv_mañana,mv_real_9feb,var_real_api,var_real,var_real_pct,error_abs,error_pct,error_con_signo,pred_sube,real_sube,acierto_direccion
Fermín,3,Fútbol Club Barcelona,149106845.0,2123953.2,1.42,151230798.25,149106845.0,2312782.0,0.0,0.0,2123953.25,1.42,2123953.25,True,True,True
Dani Olmo,3,Fútbol Club Barcelona,80733523.0,2063615.8,2.56,82797138.75,80733523.0,2349907.0,0.0,0.0,2063615.75,2.56,2063615.75,True,True,True
Oyarzabal,4,Real Sociedad de Fútbol SAD,90771040.0,1432246.0,1.58,92203286.0,90771040.0,1411430.0,0.0,0.0,1432246.0,1.58,1432246.0,True,True,True
Guedes,3,Real Sociedad de Fútbol SAD,42367751.0,1288474.6,3.04,43656225.625,42367751.0,1395087.0,0.0,0.0,1288474.625,3.04,1288474.625,True,True,True
Ez Abde,4,Real Betis Balompié SAD,56322870.0,1176985.4,2.09,57499855.375,56322870.0,1059291.0,0.0,0.0,1176985.375,2.09,1176985.375,True,True,True
Gerard,4,Villarreal Club de Fútbol SAD,50803128.0,1062929.5,2.09,51866057.5,50803128.0,912554.0,0.0,0.0,1062929.5,2.09,1062929.5,True,True,True
Budimir,4,Club Atlético Osasuna,28150394.0,809213.5,2.87,28959607.5,28150394.0,736250.0,0.0,0.0,809213.5,2.87,809213.5,True,True,True
Álex Balde,2,Fútbol Club Barcelona,47776184.0,762158.6,1.6,48538342.625,47776184.0,656046.0,0.0,0.0,762158.625,1.6,762158.625,True,True,True
Camavinga,3,Real Madrid Club de Fútbol,33133186.0,694343.5,2.1,33827529.5,33133186.0,690300.0,0.0,0.0,694343.5,2.1,694343.5,True,True,True
Catena,2,Club Atlético Osasuna,36552190.0,660917.75,1.81,37213107.75,36552190.0,433148.0,0.0,0.0,660917.75,1.81,660917.75,True,True,True
Lewandowski,4,Fútbol Club Barcelona,52624403.0,645071.1,1.23,53269474.125,52624403.0,375242.0,0.0,0.0,645071.125,1.23,645071.125,True,True,True
Valverde,3,Real Madrid Club de Fútbol,124095685.0,600889.94,0.48,124696574.9375,124095685.0,716433.0,0.0,0.0,600889.9375,0.48,600889.9375,True,True,True
Tchouaméni,3,Real Madrid Club de Fútbol,62947301.0,589020.94,0.94,63536321.9375,62947301.0,533537.0,0.0,0.0,589020.9375,0.94,589020.9375,True,True,True
Rashford,4,Fútbol Club Barcelona,44004696.0,565693.25,1.29,44570389.25,44004696.0,653231.0,0.0,0.0,565693.25,1.29,565693.25,True,True,True
De Frutos,4,Rayo Vallecano de Madrid SAD,41705639.0,458386.88,1.1,42164025.875,41705639.0,397169.0,0.0,0.0,458386.875,1.1,458386.875,True,True,True
Fornals,3,Real Betis Balompié SAD,131648615.0,410329.2,0.31,132058944.1875,131648615.0,709968.0,0.0,0.0,410329.1875,0.31,410329.1875,True,True,True
Edu Expósito,3,RCD Espanyol de Barcelona,78436380.0,406031.97,0.52,78842411.96875,78436380.0,507115.0,0.0,0.0,406031.96875,0.52,406031.96875,True,True,True
Joan García,1,Fútbol Club Barcelona,66296643.0,398271.3,0.6,66694914.3125,66296643.0,144609.0,0.0,0.0,398271.3125,0.6,398271.3125,True,True,True
Marcos Alonso,2,Real Club Celta de Vigo SAD,45597214.0,396634.2,0.87,45993848.1875,45597214.0,460338.0,0.0,0.0,396634.1875,0.87,396634.1875,True,True,True
