nombre_maestro,nombre_analitica,score
L. Milla,Luis Milla,77.77777777777779
Fermín,Fermín,100.0
Dani Olmo,Dani Olmo,100.0
Arda Güler,Arda Guler,90.0
Oyarzabal,Oyarzabal,100.0
Guedes,Guedes,100.0
Eric,Eric García,53.333333333333336
Ez Abde,Ez Abde,100.0
Gerard,Gerard,100.0
Budimir,Budimir,100.0
Álex Balde,Álex Balde,100.0
Camavinga,Camavinga,100.0
Catena,Catena,100.0
Lewandowski,Lewandowski,100.0
Kounde,Koundé,83.33333333333334
Valverde,Valverde,100.0
Tchouaméni,Tchouaméni,100.0
Rashford,Rashford,100.0
De Frutos,De Frutos,100.0
Asencio,Raúl Asencio,73.6842105263158
Fornals,Fornals,100.0
Edu Expósito,Edu Expósito,100.0
Joan García,Joan García,100.0
Marcos Alonso,Marcos Alonso,100.0
Huijsen,Huijsen,100.0
A. Moleiro,Moleiro,82.35294117647058
B. Iglesias,Borja Iglesias,80.0
Hancko,D. Hancko,80.0
Ferran,Herrando,71.42857142857143
Pepe,Pepelu,80.0
Víctor Muñoz,Víctor Muñoz,100.0
Pau Cubarsí,Pau Cubarsí,100.0
Arambarri,Arambarri,100.0
Oblak,Oblak,100.0
Muriqi,Muriqi,100.0
Vitor Reis,Vitor Reis,100.0
Álvaro García,Álvaro García,100.0
Sergio Gómez,Sergio Gómez,100.0
Rioja,Rioja,100.0
C. Soler,Carlos Soler,70.0
Danjuma,A. Danjuma,82.35294117647058
Lamine Yamal,Lamine Yamal,100.0
Guruzeta,Guruzeta,100.0
Brahim,Brahim,100.0
Gorrotxa,Jon Gorrotxategi,66.66666666666667
Iñaki Williams,Iñaki Williams,100.0
De Galarreta,De Galarreta,100.0
Febas,Aleix Febas,62.5
Daley Blind,Daley Blind,100.0
Ratiu,Ratiu,100.0
Arnau,Arnau,100.0
Marc Pubill,Marc Pubill,100.0
Gueye,Guedes,72.72727272727273
Darder,Darder,100.0
Lucas Beltrán,L. Beltrán,78.26086956521739
Álvaro,Álvaro Núñez,66.66666666666667
Nico Serrano,Nico Serrano,100.0
Marc Bernal,Marc Bernal,100.0
Rubén García,Rubén García,100.0
Chimy Ávila,Chimy Ávila,100.0
R. Mendoza,Rodrigo Mendoza,72.0
Lucas Boyé,L. Boyé,70.58823529411764
Lemar,Lemar,100.0
Elgezabal,Unai Elgezabal,78.26086956521739
Raúl,Raúl,100.0
Ilyas,Isi,50.0
Iván Martín,Iván Martín,100.0
T. Martinez,Toni Martínez,75.0
Kike Salas,Kike Salas,100.0
Llorente ,Llorente,100.0
Djene,Djené,80.0
Colombatto,S. Colombatto,86.95652173913044
Oskarsson,Oskarsson,100.0
Sucic,Luka Sucic,66.66666666666667
Héctor Fort,Héctor Fort,100.0
D. Jiménez,David Jiménez,78.26086956521739
Turrientes,Turrientes,100.0
H. Rincón,Hugo Rincón,80.0
M. Román,Leo Román,70.58823529411764
Javi López,Javi López,100.0
Jan Salas,José Salinas,66.66666666666667
Olasagasti,Olasagasti,100.0
Navarro,Pau Navarro,77.77777777777779
David Costas,David Costas,100.0
Kiko F.,Kiko Femenía,63.1578947368421
David Carmo,David Carmo,100.0
M. Casadó,Casadó,80.0
Sibo,K. Sibo,72.72727272727273
Selton,Sotelo,66.66666666666667
Antonio Sánchez,Selton Sánchez,75.86206896551724
Iker Muñoz,Iker Muñoz,100.0
Bakambu,C. Bakambu,82.35294117647058
F. Viñas,F. Viñas,100.0
Calebe,Calebe,100.0
Nacho Vidal,Nacho Vidal,100.0
A. Reina,Alberto Reina,66.66666666666667
Ejuke,Ejuke,100.0
Lucas,Lucas Laso,66.66666666666667
A. Rebbach,Rebbach,82.35294117647058
V. Parada,Víctor Parada,72.72727272727273
Morlanes,Morlanes,100.0
Balliu,Balliu,100.0
Léo Pétrot,L. Pétrot,84.21052631578947
Pedrosa,Pedrosa,100.0
David López,David López,100.0
Ballestero,Valles,62.5
Pedroarena,Pedrosa,70.58823529411764
Ibon Sánchez,Ibon Sánchez,100.0
Adrián,Adrián,100.0
Monreal,Moncayola,62.5
Sarasa,Carvajal,57.14285714285714
Guridi,Guridi,100.0
Diaby,Diakhaby,76.92307692307692
Ramón Martínez,Toni Martínez,74.07407407407408
Yoel Lago,Yoel Lago,100.0
Lucas Núñez,Lucas Laso,47.61904761904761
Navarro,Pau Navarro,77.77777777777779
Manu G.,G. Mikautadze,60.0
Germán,Fermín,66.66666666666667
Folgado,Aguado,61.53846153846154
Montero,Moleiro,71.42857142857143
Cardoso,Fábio Cardoso,70.0
Oso,Oso,100.0
Alex Costa,Aleix Febas,57.14285714285714
Jordán,Jordán,100.0
Arnau Tenas,Arnau Tenas,100.0
Ramazani,L. Ramazani,84.21052631578947
Cheli,Cervi,60.0
Salhi,Rahim,60.0
Bergstrom,L. Bergström,76.19047619047619
J. Musso,Musso,76.92307692307692
Maroan,Mariano,76.92307692307692
Unai G.,Unai Gómez,70.58823529411764
Gorosabel,Gorosabel,100.0
Juanmi,Juanmi,100.0
Alemâo,Alemão,83.33333333333334
Hugo Lopez,Diego López,66.66666666666667
Mykyta,M. Ryan,46.15384615384615
Grady Diangana,G. Diangana,80.0
F. Garcés,Facundo Garcés,69.56521739130434
Kumbulla,Kumbulla,100.0
Francés,Franco,76.92307692307692
Jofre,Jofre,100.0
Dani Calvo,Dani Calvo,100.0
Álex Sancris,Álex Sancris,100.0
Javi Muñoz,Javi Muñoz,100.0
Letacek,Letacek,100.0
Y. Santiago,Antonio S.,57.14285714285714
Protesoni,Protesoni,100.0
