nombre_maestro,sugerencia,score
Egoitz M.l.,Yoel Lago,40.0
P. Meixus,Musso,42.85714285714286
Kochorashvili,Tchouaméni,43.47826086956522
C. De La Hoz,Logan Costa,43.47826086956522
Badé,Sadiq,44.44444444444444
Nil,Bailly,44.44444444444444
S. C. Tenés,Arnau Tenas,45.45454545454546
Otorbi,Mouriño,46.15384615384615
Mykyta,M. Ryan,46.15384615384615
Lucas Núñez,Lucas Laso,47.61904761904761
Taufik Seidu,Take Kubo,47.61904761904761
Conor Gallagher,Arda Guler,48.0
Rdt,Ratiu,50.0
Owono,Oso,50.0
Yéremy Pino,Oriol Rey,50.0
Novoa,Pau Navarro,50.0
J. Ives Valou,I. Radu,50.0
Esquivel,Riquelme,50.0
Endrick,Pedri,50.0
Moussa Diarra,Joan García,50.0
Goti,Gavi,50.0
Idumbo,Gumbau,50.0
Neyou,Nianzou,50.0
Domenech,Davinchi,50.0
Nordin Al-Lal,Le Normand,52.17391304347826
Stamatakis,B. Santamaría,52.17391304347826
Tomas Conechny,Moncayola,52.17391304347826
L. Pinillos,Vinicius Jr.,52.17391304347826
Lukébakio,Luka Sucic,52.63157894736843
R. De Paul,Pau López,52.63157894736843
M. Narváez,M. Moreno,52.63157894736843
Miovski,Dimitrievski,52.63157894736843
A. Ferllo,Abdellaoui,52.63157894736843
Koyalipou,Balliu,53.333333333333336
Mestre,Mascarell,53.333333333333336
Paraschiv,Brahim,53.333333333333336
Vilaplana,Vivian,53.333333333333336
Félix,Álex Forés,53.333333333333336
Salguero,Moleiro,53.333333333333336
Iván,Iván Martín,53.333333333333336
Koleosho,Moleiro,53.333333333333336
Dawda,Darder,54.54545454545454
Papa,Padilla,54.54545454545454
Brekalo,Urko,54.54545454545454
Greif,Guridi,54.54545454545454
Edu Altozano,Antonio S.,54.54545454545454
Alfon,Alemão,54.54545454545454
Xavi Espart,Ovie Ejaria,54.54545454545454
Brandon Dominguès,Carlos Domínguez,54.54545454545454
Bauza,Balliu,54.54545454545454
Hinojo,Rioja,54.54545454545454
Youssef,Yusi,54.54545454545454
Jairo,Marcão,54.54545454545454
Yarek,Darder,54.54545454545454
Joselu,Jofre,54.54545454545454
Rondón,Abdón,54.54545454545454
Coba,Carmona,54.54545454545454
Dotor,Dituro,54.54545454545454
Krejci,Trejo,54.54545454545454
Nico,Nianzou,54.54545454545454
Traoré,Trejo,54.54545454545454
C. Alvarez,Hugo Álvarez,54.54545454545454
Yeray,Gerard,54.54545454545454
A. Houary,A. Kamara,55.55555555555556
Andreev,André Silva,55.55555555555556
R. Arroyo,F. Boyomo,55.55555555555556
Eder Aller,Valverde,55.55555555555556
R. Chasco,I. Chaira,55.55555555555556
Livakovic,Dmitrovic,55.55555555555556
Romain Perraud,Javi Guerra,56.00000000000001
Alex Marchal,Marcos Alonso,56.00000000000001
Nikola Maraš,Marc Roca,57.14285714285714
Hugo Alvarez,Hugo Duro,57.14285714285714
Djalo,Dani Olmo,57.14285714285714
Pablo Ramón,Dani Calvo,57.14285714285714
Becker,Bellerín,57.14285714285714
Borja S.,Borja Mayoral,57.14285714285714
Kostis,Courtois,57.14285714285714
